id, title, author, score, views, favors, isTutorial
post_216747,В крупной антипиратской кампании BSA использовали «пиратское» фото,marks,+125,42056,23,0
post_217293,Девушке поставили новый череп comma  напечатанный на 3D-принтере,alizar,+122,147699,52,0
post_216735,Делаем сервер своими руками,itcoder,+120,76504,168,0
post_217581,Колесо-буксир сэкономит пассажирским авиакомпаниям миллионы долларов,ilya42,+113,58786,38,0
post_208338,Джаббер переходит на полное шифрование,Santiago26,+113,24364,154,0
post_216109,Как создать продукт в сфере бытовой электроники за пару недель с минимальным бюджетом,varkasha,+112,48159,216,0
post_217985,Автоматическая кормушка для птиц,ivan-vovanych,+111,35679,118,0
post_215905,Signed Distance Field или как сделать из растра вектор,RPG,+111,24195,330,0
post_217679,Почему компании отказываются от лучших сотрудников?,Chebanov,+110,62569,205,0
post_215433,Ищем Марс-6,Zelenyikot,+110,37576,87,0
post_216445,Инфографика Voyager 1: 36 лет в пути comma  расстояние от Земли 19'010'023'115 км,FilegiverCom,+109,68332,103,0
post_215581,Как я покупал comma  «допиливал» и настраивал китайский 3D принтер Wanhao Duplicator 4,BarsMonster,+109,58365,168,0
post_217585,Сети для самых маленьких. Часть девятая. Мультикаст,eucariot,+104,28472,884,1
post_217337,Банкомат. По ту сторону провода,Mingun,+103,37020,166,0
post_216973,Салют-7. Ремонт на орбите,kraamis,+103,24201,70,0
post_216503,ФБР задержало российского программиста по наводке Microsoft,alizar,+101,97682,34,0
post_217921,Занимательная археология. Или PVS-Studio проверяет Microsoft Word 1.1a,Andrey2008,+98,38059,25,0
post_216903,Эталон американской бюрократии,alizar,+97,74361,88,0
post_218051,Google Chrome — убираем рутину с помощью кастомного поиска,lalaki,+96,31321,760,0
post_216667,IntelliJ IDEA 13.1: Весеннее обновление,beenom,+96,24639,78,0
post_215493,Завершен перевод книги Эдди Османи «Паттерны для масштабируемых JavaScript-приложений»,asheee,+96,17293,426,0
post_113048,США отдаёт контроль над корневой зоной DNS,amarao,+95,43345,59,0
post_214803,Флэш-память для загрузки FreeNAS и прочих embedded OS,teleghost,+95,33491,327,0
post_215197,Интересно и познавательно: полёт к МКС на ПТК НП,lozga,+94,33406,179,1
post_217893,Микрокомпьютер Module MB 77.07 — русский ответ Raspberry Pi,Promwad,+93,55103,185,0
post_218039,Canonical закрывает сервис Ubuntu One,FRAGIL3,+92,34554,16,0
post_217699,Яндекс.Почта позволит отписываться от рассылок,bgarkushin,+92,14777,25,0
post_217407,Музыка для бабушки от внука-программиста,XeaLStorm,+91,25392,78,0
post_215535,Светлое будущее IPv6: когда уже наконец наступит новый мировой порядок,kappa,+91,38792,84,0
post_215555,Как мы делали домашнего робота,Rai220,+90,39391,227,0
post_217175,Нотч отказался от выпуска Minecraft для Oculus Rift,alizar,+89,44124,26,0
post_216377,Про мегапиксели comma  число 41 и Жака Фреско / UPD: добавлено демо-видео с зумом и сравнение с мыльницей по просьбам читателей,GrantM,+89,91729,118,0
post_217529,Обмануть Мигеля?,Nomad1,+88,34602,62,0
post_215121,Информационно-технологические средства практического выживания социальных сообществ в условиях отключения Интернета в 2014 году,Mithgol,+88,65184,205,0
post_217671,Загадочное объявление от IBM,untech,+85,97265,143,0
post_215577,Strace,lesovsky,+85,16066,254,0
post_214993,LED подсветка монитора своими руками,mattheus,+85,45662,244,0
post_217981,Яндекс и Высшая школа экономики открывают факультет Computer Science,Zalina,+84,23407,99,0
post_217307,Стив Джобс запретил Google нанимать даже бывших сотрудников Apple,alizar,+84,86317,62,0
post_216041,Ричарду Столлману исполнился 61 год,script88,+84,23975,23,0
post_215375,StarCraft дизассемблировали и запустили на ARM,alizar,+84,55695,104,0
post_215115,Сказка о потерянном московском времени comma  или в чем ошиблись ребята из Microsoft,AndreyShelehin,+84,46829,49,0
post_216395,Единое зарядное устройство для всех мобильных девайсов: в ЕС приняли новый закон,marks,+82,63751,32,0
post_214991,Осторожно comma  премиальные сайты МТС,evgenx,+82,45317,24,0
post_217693,Детектор троллинга: как мы повышали продуктивность с помощью речевого анализатора,TeamMRG,+81,32716,40,0
post_215767,С помощью квадрокоптера снято уникальное видео извержения вулкана,ilya42,+80,28410,67,0
post_215167,Linux Foundation совместно с EdX начинает бесплатный курс «Введение в Linux»,ilya42,+80,35163,257,0
post_217719,Управленческие инструменты: Формула нужды или Каким образом нас отжимают?,eagleson,+77,35630,366,0
post_216785,Спуфинг расширения в winrar,BeLove,+77,31140,91,0
post_215397,День числа Пи,TeamMRG,+77,31393,61,0
post_216813,К чему приводит демократия,Terras,+76,75250,153,0
post_216379,Автономная солнечная электростанция для ретранслятора сотовой связи. Прыжок в неизвестность и что из этого получилось,Adarian,+76,27106,58,0
post_215383,Моя реализация автоматического включения света в туалете (и без Arduino),Sergey_Morozov,+76,44803,285,0
post_217665,Национальная платёжная система и ширина лошадиной задницы,faxenoff,+75,44278,117,0
post_216289,В реликтовом излучении обнаружены следы гравитационных волн от Большого взрыва,ilya42,+75,38212,54,0
post_215487,Образовательные и обучающие ресурсы для веб-разработчиков и веб-дизайнеров,TeamMRG,+75,47043,1142,0
post_217371,Собственная компания — забег длиною в год,cissav,+74,33380,231,0
post_217163,YotaDevices: О чём мы так долго молчали?,YotaDevices,+74,38475,36,0
post_215513,Инструменты разработчика или Почему вы не используете X? Часть 1,domu,+74,36952,464,0
post_217427,Российская микроэлектроника для космоса: кто и что производит,amartology,+73,28048,124,0
post_216655,История PCI — на пути к светлому будущему накопителей,alexzeynikov,+73,30055,80,0
post_216287,«Memory Component Issue» comma  или масштабный брак сетевого оборудования,JDima,+73,32874,55,0
post_216013,Lock-free структуры данных. Эволюция стека,khizmax,+73,16229,247,0
post_215901,NASA: найдено 715 новых планет comma  4 из них могут быть пригодны для жизни,FilegiverCom,+73,49340,74,0
post_215849,Сайт Lenta.ru подвергся хакерской атаке,Shlom,+73,49684,27,0
post_212849,Раритетный КПК Casio Cassiopeia A-11A,kerenskiy,+73,30441,29,0
post_217267,Облако Оорта — нас ждет масса открытий,FilegiverCom,+72,44299,52,0
post_215765,Google Drive в несколько раз снижает цены на облачные гигабайты,ilya42,+72,32499,58,0
post_217453,Новый дизайн процессоров Intel — сделано в России!,vikky13,+71,60856,26,0
post_217617,Тестирование «быстрой MongoDB» – TokuMX в условиях comma  близких к реальности,umputun,+71,11404,55,0
post_217103,Facebook покупает Oculus VR за 2 инстаграмма,coolspot,+71,41868,33,0
post_215547,Отмена учета ссылок в ранжировании коммерческих запросов,anton,+71,17445,29,0
post_217399,Как я использовал BitTorrent Sync между офисами в РФ и Китае,wtigga,+70,28502,227,0
post_216145,Нейропластичность — 8 изменений в человеке comma  сформировавшихся под воздействием технологий,FilegiverCom,+70,58936,232,0
post_215927,Popcorn Time закрылся из-за «угрозы юридических преследований и закулисных махинаций»,ilya42,+70,46543,51,0
post_215117,Простым языком об HTTP,MaGIc2laNTern,+70,43373,703,0
post_214561,Как мы продали первый тираж книги 5000 экз. за два месяца,Bredun,+69,21096,53,0
post_217237,Internet Archive начал оцифровку 40 000 видеокассет VHS и Betamax,alizar,+69,24220,28,0
post_216931,Турция заблокировала Google DNS,SLY_G,+69,36413,42,0
post_217739,Традиционный пост к Первому апреля,xandr0s,+68,78476,97,0
post_217557,Математикам доверяй comma  но проверяй,Andrey2008,+68,30776,68,0
post_215937,Несколько интересностей и полезностей для веб-разработчика #13,ilusha_sergeevich,+68,34149,447,0
post_217959,Загадочная игра от IBM,olestu,+67,48694,39,0
post_217735,SSD: подвиды и перспективы,ETegro_Technologies,+67,48960,150,0
post_217601,Sono: активная система шумоподавления для окон,ilya42,+67,28835,73,0
post_216915,«Переведем Coursera»: как сделать платформу для перевода лучших курсов мира на русский язык,denisfrolov,+67,14166,149,0
post_216617,Добро Mail.ru и Нетология запускают проект «Безграничные возможности»,media_magnit,+67,8344,13,0
post_216363,Сервер очередей,TeamMRG,+67,17867,184,0
post_217315,Фотоотчёт с выставки ретрокомпьютеров в Минске,StealthX,+66,22357,39,0
post_216281,Facebook научился распознавать лица в толпе с точностью 97 comma 25 %,aleksandrit,+66,49905,102,0
post_215199,Побочный результат: проверяем CryEngine 3 SDK с помощью CppCat,Andrey2008,+66,21505,22,0
post_214961,Satoshi Nakamoto — «I am not Dorian Nakamoto»,equand,+64,38684,24,0
post_217525,Сравнительное тестирование SDHC карт памяти стандарта UHS-I объемом 32 ГБ,Samendk,+63,27309,196,0
post_217527,Wu-tang Clan планирует продать только один экземпляр своего нового альбома,ilya42,+63,55741,30,0
post_217121,Плагин к Sublime Text для публикации статей на Хабр,tangro,+63,7138,88,1
post_214841,5 способов сравнить два байтовых массива. Сравнительное тестирование,scumware,+63,14559,160,0
post_215661,В индийской полиции 8 лет не отвечали на жалобы comma  потому что потеряли пароль от базы данных,Maslukhin,+63,55560,11,0
post_215449,Ещё один формат хранения архивов: dar,librarian,+63,22249,268,0
post_215071,Определение локальных IP-адресов через WebRTC,zhovner,+63,20504,289,0
post_215527,Дифференциальный криптоанализ для чайников,NeverWalkAloner,+62,19157,230,0
post_216577,Руководство по basis.js. Часть 1: Начало работы comma  представления comma  модули comma  инструменты,lahmatiy,+61,12593,240,1
post_215777,Javascript: фрактал отсоса,PerlPower,+61,29696,219,0
post_214919,Один год из жизни проекта Ответы@Mail.ru,noxx,+61,23062,58,0
post_217343,Указатель последовательности сборочных операций. Повышение производительности труда работников сборочных производств при помощи лазерной указки,mlg,+60,26400,58,0
post_216523,Что должен знать каждый участник крупного MMO-проекта,Alexey2005,+60,45214,383,0
post_215603,Скорочтение по технологии spritz на любом сайте,shifttstas,+60,59583,390,0
post_216303,Java 8 Released,just_vladimir,+59,38081,142,0
post_215131,Сравнение популярных систем сборки для frontend-разработчиков,xamd,+59,23327,338,0
post_215945,Дайджест интересных материалов из мира веб-разработки и IT за последнюю неделю №100 (9 — 15 марта 2014),alexzfort,+59,31841,270,0
post_215229,На счетах MtGox обнаружены «украденные» деньги,marks,+59,41022,28,0
post_217189,Неправильное использование атомов и трудноуловимая бага в VCL,MrShoor,+58,14349,62,0
post_216131,Атаки на отказ в обслуживании: практика тестирования,BeLove,+58,18671,276,0
post_215931,Алгоритмы о выборе дороги и сетях. Сети Штейнера. Лекция Владимира Протасова в Яндексе,elcoyot,+58,13367,219,0
post_215237,LUA в nginx: горячий кеш в памяти,AterCattus,+58,9175,168,0
post_218013,Что можно сделать с ITEAD IBOX. Часть 1,djmorgan,+57,26756,45,0
post_216741,Дайджест интересных материалов из мира веб-разработки и IT за последнюю неделю №101 (16 — 22 марта 2014),alexzfort,+57,29755,223,0
post_216649,Счета Microsoft к ФБР: корпорация получает деньги за каждый официальный запрос спецслужбы по раскрытию информации пользователя,marks,+57,24985,29,0
post_216269,Дистрибутив comma  среда comma  оконный менеджер Линукса дома?,leventov,+57,31045,59,0
post_215619,Некоторые проблемы Nokia Lumia 1520 в одном посте,IvanFF,+57,42697,36,0
post_214745,Как использование случайности может помочь сделать ваш код быстрее? Лекция Михаила Вялого в Яндексе,elcoyot,+57,18192,209,0
post_217873,Легко ли человеку с инвалидностью найти работу в IT,djika,+56,20707,37,0
post_217637,Сертификация товаров в РФ или 9 кругов ада,MaxVed,+56,26867,94,0
post_216727,Команда Facebook выложила в открытый доступ язык Hack,sferrka,+56,21564,89,0
post_216441,GOG.com портирует классические игры под Linux,alizar,+56,22280,35,0
post_215553,Обзор систем защиты ПО для Windows от нелегального использования,kruzhevnik,+56,26523,266,0
post_217819,Разминка для шеи в терминале,hardex,+55,20767,39,0
post_216779,Реестр запрещённых сайтов как путь к информационной изоляции,rboots,+55,35313,45,0
post_216039,Transcend WiFi. Пишем клиент Shoot&View для Windows comma  Mac и Linux,kAIST,+55,15079,149,0
post_217093,Выбор технологии 3D печати для производства небольшого количества корпусов,kishchak,+54,20204,142,0
post_216701,Единый != единственный? Реестр запрещенных сайтов,trueshura,+54,31538,47,0
post_215815,Пиратство — двигатель прогресса. Научные исследования в области неконтролируемого копирования,sardarbinyan,+54,20254,81,0
post_217199,Российским чиновникам запретили использовать iPad,Fiesta,+53,57116,21,0
post_216575,Опубликованы судебные документы на Алексея Кибкало,alizar,+53,38604,27,0
post_215689,Когда система бесперебойного электропитания может вызывать перебой или «История нескольких аварий»,Trinergy,+53,23405,95,0
post_215387,Хронометрирование на Марсе,kraamis,+53,13394,37,0
post_215215,Контроллер умного дома (с Ethernet comma  WiFi comma  USB comma  блэкджеком и плюшками) за $20?,dzhe,+53,44593,492,0
post_216437,Автономный квадрокоптер с нуля: PID и грабли,alexac,+52,23459,255,0
post_218023,Кометный посадочный модуль «Фила» успешно проснулся на борту зонда «Розетта»,marks,+52,13720,20,0
post_217787,Обзор новой линейки коммутаторов Cisco Fatalyst,asch,+52,22858,25,0
post_216697,Лёгкий способ писать iOS приложения на вебе,mobilz,+52,30442,562,0
post_217501,Несколько интересностей и полезностей для веб-разработчика #14,ilusha_sergeevich,+52,16897,352,0
post_217289,TOX: Что произошло в проекте за полгода,shifttstas,+52,26395,73,0
post_217225,MakeHuman: релиз спустя 12 лет разработки,ilusha_sergeevich,+52,25201,224,0
post_217117,Бизнес-секреты Кремниевой долины. Как построить успешный бизнес без привлечения инвестиций. Илья Сёмин comma  основатель стартапа Datanyze,protsyuk_ru,+52,17008,172,0
post_216665,Конечное и бесконечное в математике. Лекция Павла Кожевникова для старшеклассников в Яндексе,elcoyot,+52,13773,198,0
post_216271,Зрение для Arduino comma  или как работать с видео имея 2 comma 5 кб оперативной памяти,MagisterLudi,+52,12899,120,0
post_216189,Неопределенное поведение в C++,hairatic,+52,14597,151,0
post_215779,К 45-летию полёта космического корабля «Аполлон-9»: разоблачение популярного мифа о лунном модуле comma  якобы сделанном из фольги,sergewatkins,+52,35983,62,0
post_215125,Ницше comma  грабли и тяга к прекрасному,sfss,+52,19411,111,0
post_217925,[видео] 8 способов противостояния формуле нужды,eagleson,+51,19476,294,0
post_217349,Следующее поколение процессоров Intel будет предлагаться как услуга,saul,+51,57870,28,0
post_217611,Remote по-русски. Новая книга от 37signals,HotWaterMusic,+51,16888,202,0
post_215909,Китайский луноход «Юйту» успешно «проснулся» после третьей по счету лунной ночи,marks,+51,23910,18,0
post_214333,История навигаторов,ivansychev,+51,30026,69,0
post_215251,Анти-стелс игра Nothing To Hide,JIghtuse,+51,21394,82,0
post_215139,Приемы неявного вызова php кода comma  применяемые во вредоносных скриптах,mnemonic,+51,18497,352,0
post_214979,Google Earth будущего: HD-видеоcъемка с орбиты почти в режиме реального времени,marks,+51,44486,59,0
post_217891,Соединяем эллиптический тренажер и pygame,Velese,+50,13085,52,0
post_217023,Оптоволокно как основа системы анализа крови в режиме реального времени,marks,+50,15351,42,0
post_217011,Неприятный сюрприз от Eclipse,AllexIn,+50,27684,45,0
post_216733,Динамические деревья,SeptiM,+50,13228,364,0
post_216963,Парящий ветрогенератор BAT: электричество comma  сотовая связь comma  Wi-Fi и метеостанция,marks,+50,36146,66,0
post_206210,Синхронизация в Android приложениях. Часть первая,dev_troy,+50,11156,302,1
post_216049,Concurrency: 6 способов жить с shared state,f0y,+50,12531,200,1
post_216033,Программа «самопоедания» Google,alizar,+50,37775,46,0
post_216003,SpeedReader — Qt библиотека для скорочтения,FluffyMan,+50,20863,165,0
post_215235,LUA в nginx: слегка интеллектуальный firewall,AterCattus,+50,8811,217,0
post_217839,Поиск в пространстве состояний,ABBYYTeam,+49,6585,90,0
post_217465,Обнаружен первый астероид с кольцами,FilegiverCom,+49,19252,38,0
post_217111,Жителям Исландии начали раздавать криптовалюту Auroracoin,alizar,+49,31821,45,0
post_217073,PgTune — настройка производительности PostgreSQL для заданной аппаратной конфигурации (онлайн версия),le0pard,+49,7764,159,0
post_216123,Счета украинского подразделения WebMoney разблокированы comma  вывод WMU возобновлён,ilya42,+49,19553,12,0
post_215911,Еще раз про стрелочные индикаторы (и совсем без МК),Sergey_Morozov,+49,22618,139,0
post_215939,C++11 и 64-битные ошибки,Andrey2008,+49,21709,190,0
post_215795,Google отказывается от подчеркнутых ссылок,Ualde,+49,48102,21,0
post_215355,Поиск причин странной производительности,dougrinch,+49,17954,100,0
post_215163,Мой инструмент для тайм-трекинга и выписывания инвойсов,hardex,+49,24352,202,0
post_217393,MongoDB от теории к практике. Руководство по установке кластера mongoDB,firefoxy,+48,8212,347,0
post_217251,Быстрый отладчик от Mozilla с записью и воспроизведением,alizar,+48,8450,85,0
post_217205,Логика мышления. Промежуточный итог,AlexeyR,+48,10198,214,0
post_216599,Короткая жизнь и приключения одной игры,fondemzel,+48,20080,77,0
post_216535,Управление репутацией рассыльщика comma  или Кто виноват и что делать comma  если ваша рассылка попадает в спам?,s4ever,+48,15388,148,0
post_215183,Дайджест интересных новостей и материалов из мира PHP № 37 (24 февраля — 9 марта 2014),pronskiy,+48,16521,172,0
post_217765,Панель управления умным домом. iPhone в стене,aivs,+47,16798,290,0
post_217575,Demonoid снова с нами,siomi,+47,29072,46,0
post_216601,Катаемся на флоппике и изучаем перспективный роутер. (В этой статье не пострадал ни один TP-Link MR3020 и TL-WR703N comma  и отделался легким испугом HAME MPR A100 (A2)),svavan,+47,20629,140,1
post_215829,Как я немного Instagram увёл,tenoclock,+47,44267,171,0
post_215647,Android SDK vs NDK — сравнение производительности однотипных участков кода,websiteam,+47,20207,76,0
post_215329,Dalvik vs Xamarin: так ли плох Xamarin?,Nagg,+47,25874,78,0
post_217647,while(true){ Apple подала новый иск к Samsung на $2 млрд },Yurevich1,+46,28422,12,0
post_214649,Up! Plus 2. Обзор: распаковка comma  калибровка comma  разбор и первая печать,MagisterLudi,+46,18002,70,0
post_217521,Оптимизируем LIMIT offset,Shannon,+45,12414,297,0
post_216783,Ref-qualified member functions,rpz,+45,7551,98,0
post_216579,DirectX 12,dmandreev,+45,43832,32,0
post_216247,«Сверхзвуковая» загрузка фотографий в Облако с помощью собственного NSInputStream,PavelOsipov,+45,9791,66,0
post_216401,Big data: размер имеет значение?,Odnoklassniki_ru,+45,11696,63,0
post_213439,PowerPot — котелок comma  который может зарядить ваш смартфон,Ellanorsh,+45,33541,71,0
post_215985,Python-digest #18. Новости comma  интересные проекты comma  статьи и интервью [9 марта 2014 — 16 марта 2014],alrusdi,+45,12487,116,0
post_215629,Исследование рынка труда веб-разработчиков,Terekhov,+45,36102,171,0
post_215173,Статистика использования javascript-библиотек и CDN,MrMig,+45,12953,80,0
post_215109,Дайджест интересных материалов из мира веб-разработки и IT за последнюю неделю №99 (2 — 8 марта 2014),alexzfort,+45,28632,204,0
post_215081,rusEfi автомобильный блок управления: улучшили железо comma  теперь будем писать к нему софт,andrey239,+45,21530,88,0
post_218059,Интервью с Джеффри Рихтером на конференции Microsoft SWIT 2014,bohdannanovskyi,+44,8157,24,0
post_217865,Производственный юмор: запросы от пользователей Acronis True Image,gaidar,+44,39140,14,0
post_217615,Лекториум запускает направление MOOC,yasha_somov,+44,6142,94,0
post_217331,Алгоритм Энигмы,DenisSivtsev,+44,15866,134,0
post_215807,λ-исчисление. Часть первая: история и теория,AveNat,+44,20909,316,1
post_216375,Отзывчивый дизайн. Реакция на уровень освещенности,SergeyKuzmich,+44,21301,248,0
post_216279,Релиз Firefox 28,traneblow,+44,24583,9,0
post_215771,Как мы спасали глаза с OpenCV,andheroe,+44,14016,168,0
post_217215,«Что такое доказательство?»: взгляд из теоретической информатики,dmitrits,+43,9113,158,0
post_217491,Майкл Абраш и Джон Кармак: снова вместе comma  на этот раз — в Oculus VR,HotWaterMusic,+43,14231,31,0
post_217447,Встречайте WebStorm 8: поддержка AngularJS comma  spy-js comma  интеграция Grunt и многое другое,prigara,+43,10344,52,0
post_217327,Атаки по времени — сказка или реальная угроза?,alex_kir,+43,22904,93,0
post_216729,Machine learning в простом проекте,Dmytro_Voloshyn,+43,11632,135,0
post_216809,Дайджест интересных новостей и материалов из мира PHP № 38 (9 марта — 23 марта 2014),pronskiy,+43,14259,143,0
post_216035,Орел улетел. Отмененные миссии Apollo,kraamis,+43,15900,32,0
post_215907,Простая стратегия игры 2048,WhatIsGTO,+43,89298,104,0
post_215827,Внесены изменения в авторское право,ictlawyer,+43,22495,65,0
post_215225,Сломай меня полностью (ZeroNightsCrackme comma  Часть 2),r0_Crew,+43,9701,97,1
post_215037,Гейб отвечает [перевод],JIoBeJIaC,+43,48224,42,0
post_214953,Microsoft NCSI на службе или как мы искали забытый нетбук,KorDen32,+43,20952,158,0
post_217979,Google теперь позволяет настроить панель сервисов,PavelPV,+42,12826,25,0
post_217503,Интересно и познавательно: управляемая посадка на ПТК НП,lozga,+42,9232,86,1
post_217389,Вычисление дня недели в уме,Danov,+42,22394,324,1
post_216919,Панорама Млечного Пути,FilegiverCom,+42,24233,65,0
post_215123,Двухбитный Идиот угрожает совету директоров Bitcoin Foundation,polym0rph,+42,35496,16,0
post_217827,Павел Дуров покинул пост генерального директора Вконтакте. Нет comma  это не шутка,Bakuutin,+41,39139,14,0
post_217203,Properties framework для Qt,lexxmark,+41,5790,119,0
post_217409,ХабраFAQ про поиск работы в интернете,djika,+41,17687,109,0
post_216799,Делаем мир интереснее или о чем я стараюсь помнить comma  создавая новый квест,Drag13,+41,21934,235,0
post_216591,Полезное для Android разработчика из Github,03uk,+41,10701,364,0
post_215817,Продвинутые методы неявного вызова php кода comma  использующиеся во вредоносных скриптах,mnemonic,+41,11416,299,0
post_215523,Свалка не вариант. 3 законных способа избавиться от старого железа,rusonyx_team,+41,36409,81,0
post_215405,Робот comma  неплохо играющий в настольный теннис: разработка из Германии,marks,+41,36646,47,0
post_215015,В Minecraft строят Манхэттен в масштабе 1:1,alizar,+41,68262,59,0
post_217785,Возвращение героя: Nokia 3310,ivansychev,+40,69153,41,0
post_216983,Статические сайты в облачном хранилище,AndreiYemelianov,+40,18700,107,1
post_216449,Парсинг формул в 40 строк,lunserv,+40,17896,173,0
post_216385,NPC за 5 минут или немного о создании характеров персонажей,Drag13,+40,20185,279,0
post_215923,OpenCV участвует в Google Summer of Code 2014,Alex_alhimik,+40,7310,38,0
post_215793,Разработка мобильного приложения: сюрпризы фронтэнда и бекенд,pankrusheff,+40,14328,134,0
post_217149,Как я хотел обхитрить биткойн,bugrimov,+39,37203,80,0
post_217067,Корейские учёные разработали звукоизолирующее окно comma  которое свободно пропускает воздух,ilya42,+39,24151,54,0
post_216679,Fitbit One — трекер физической активности,Jeditobe,+39,23896,117,0
post_216775,Python-digest #19. Новости comma  интересные проекты comma  статьи и интервью [16 марта 2014 — 23 марта 2014],alrusdi,+39,8757,93,0
post_216769,Окончание поддержки Windows XP может подстегнуть переход банкоматов на Linux,ilya42,+39,55949,39,0
post_216137,Студенты comma  где вы? Вы нужны PostgreSQL!,smagen,+39,13472,27,0
post_215453,Модель Random Forest для классификации comma  реализация на c#,mephistopheies,+39,9597,159,0
post_215645,Умная обрезка картинок с использованием точки фокуса,fetis26,+39,17067,149,0
post_159767,Группировка с условием,Dzirtik,+39,13833,149,0
post_215101,Об особенностях реализации префиксного энтропийного кодирования для больших алфавитов,GORKOFF,+39,4915,67,0
post_217727,Starshade — поиск обитаемых планет,FilegiverCom,+38,15780,42,0
post_217083,«Безнадежный» проект или 8 «уроков палкой»,infostart,+38,16644,106,0
post_217107,Едем в Кремниевую Долину — самостоятельный тур по знаковым местам Долины,TanyaF,+38,13008,186,0
post_216603,Oculus представили Rift Development Kit 2 на конференции GDC 2014,DexterKZ,+38,13100,32,0
post_216557,Google ввел шифрование Gmail-трафика между дата-центрами для надежной защиты данных пользователей,marks,+38,17574,20,0
post_216129,Стратегия игры в «мафию» с точки зрения анализа транзакций,Milfgard,+38,22145,110,0
post_216155,Реалии работы в проектах приложений Smart TV,spmbt,+38,20696,104,0
post_213485,Nitecore SENS AA — когда фонари становятся умными,frag1k,+38,32184,130,0
post_215895,Миниатюрный трикоптер с HD 1080 камерой на Kickstarter насобирал почти 1 млн долларов вместо 35 тысяч,marks,+38,28342,75,0
post_215839,Добавление HDD в «капризный» ноутбук,KruFFT,+38,29625,84,0
post_215697,Локализация консольных игр: между контроллером и геймпадом,virtualtomato,+38,19113,46,0
post_215281,Карта подводного интернета 2014 от TeleGeography,FilegiverCom,+38,29847,126,0
post_215083,Веб-интерфейс для кофеварки на Ajenti через HTCPCP,hardex,+38,11577,83,1
post_215035,Немного змеиного масла,zogby,+38,19038,48,0
post_217691,Шаринг кода между платформами WP7 comma  WP8 comma  Win8. Основы,Atreides07,+37,5296,71,0
post_217595,Аннотации в Java comma  часть I,IvanGolovach,+37,10237,276,0
